269	284	28	169.44
1797	12	13	5.78
969	108	9	9.83
8168	12	4	5.49
113	7742	4	19.38
1577	118	4	6.62
12	10782	3	4.5
367	976	7	47.08
370	359	15	94.32
1929	145	4	14.28
113	1320	18	66.68
115	2063	6	16.31
143	115	164	371.9
3202	117	3	7.36
148	3526	4	19.98
117	2932	3	6.88
5215	1947	10	148.9
57	5665	3	9.93
885	146	3	4.95
1937	12	14	8.91
10346	103	3	7.31
735	108	17	27.89
28401	27187	4	113.38
133	32094	3	35.86
141	863	7	20.68
103	30877	3	18.04
7164	105	3	5.42
961	839	3	19.9
8	9847	3	20.33
423	409	6	30.29
488	2023	25	288.72
105	38331	3	23.48
150	123	31	12.06
3401	326	4	32.3
1768	103	14	19.14
124	3668	9	48.68
718	3247	3	26.68
2350	357	3	20.52
300	240	7	22.82
4805	107	3	6.48
105	5277	4	6.58
572	118	39	152.46
104	7263	3	4.81
6133	102	6	13.06
1880	7	5	24.21
101	2937	17	25.66
247	378	4	10.96
3790	102	6	7.03
314	1809	12	105.36
1143	126	5	10.24
160	783	3	5.87
222	2262	3	16.19
105	2076	12	19.91
789	881	11	98.53
1842	175	4	17.67
4749	14	9	14.22
162	1738	10	59.31
632	271	3	10.21
3342	3056	5	66.18
2133	117	33	210.6
12	856	32	19.8
105	1284	35	93.39
1207	134	4	9.08
16787	101	7	33.04
2103	630	3	22.99
105	6004	6	16.05
3000	14	9	6.73
130	7272	3	15.9
856	145	3	4.75
12594	106	3	10.59
8	16202	3	25.05
1674	1014	3	24.44
183	811	4	12.19
12	20299	3	9.58
2795	970	5	51.41
1256	648	3	19.84
123	3393	8	39.25
425	378	4	16.37
7136	106	4	10.26
389	2348	4	30.29
121	299	10	6.71
519	5801	6	67.42
7337	103	5	12.66
5287	101	10	18.06
101	22836	3	10.14
5600	109	15	90.17
125	5575	3	12.74
18329	14	3	8.79
104	2642	24	78.27
280	154	8	12.05
186	2423	3	14.3
101	3820	8	6.29
131	2381	5	18.97
130	274	10	8.68
103	433	29	12.08
102	295	226	632.02
104	4258	8	17.19
444	12	88	96.95
538	392	3	12.02
4155	1654	3	33.87
1083	2043	3	26.23
890	1078	6	50.34
7669	103	3	5.19
4603	14	7	7.66
2259	14	19	26.35
159	3165	4	21.06
217	105	136	209.03
162	2701	6	35.47
134	1605	15	80.75
189	350	4	6.72
101	1127	25	13.18
105	402	37	31.06
9855	109	6	33.59
1537	623	16	166.2
720	161	4	9.48
18178	104	3	12.16
183	1951	4	19.08
266	28080	4	60.49
868	122	6	9.41
14044	3203	3	48.68
3584	12	10	11.47
5349	12	6	6.79
103	17041	3	12.14
1832	114	5	10.69
126	2247	49	404.39
154	3328	3	13.67
105	18654	4	21.86
106	28395	3	19.82
2555	103	8	9.09
101	7213	10	26.63
7787	127	4	23.84
105	3491	5	5.95
102	1631	100	515.64
2133	153	7	35.75
103	2002	7	4.01
4306	103	7	13.53
1680	246	5	30.31
1840	124	11	46.43
281	1124	3	13.88
101	794	95	200.59
3219	12	9	7.21
1171	104	19	22.21
481	112	24	49.09
5562	12	8	13.65
101	6372	6	8.02
104	7304	3	4.81
2217	103	16	32.4
1199	14	21	11.43
210	200	9	18.47
123	1723	30	183.73
106	12947	4	17.38
1922	117	5	11.71
109	9102	4	17.8
7615	14	6	11.98
112	11647	3	15.53
101	21723	5	24.96
1504	107	48	242.06
154	331	11	27.57
155	462	5	8.49
28193	9	3	32.05
1352	489	3	18.69
334	122	76	341.94
14074	127	3	21.42
2434	120	12	55.66
106	10092	3	8.93
105	22404	6	46.95
12380	101	4	9.06
2351	121	3	6.28
16554	105	4	19.14
12	4014	7	5.83
104	2465	8	8.65
12	1788	37	77.11
86	1116	4	15.28
189	375	3	4.07
662	101	116	243.02
1686	14	19	17.18
347	7896	3	29.5
513	1034	7	52.29
29294	12	3	14.37
101	7860	5	7.59
104	4293	4	3.98
118	11366	5	34.42
3514	8	3	12.27
105	6279	4	8.1
4667	120	3	10.1
5688	118	3	11.56
103	2318	7	5.45
17541	108	4	26.33
101	3803	44	195.86
280	116	325	2178.17
104	1077	17	14.98
12	1573	13	3.96
7888	104	12	57.34
1478	138	5	15.45
356	125	20	44.87
2048	14	19	22.89
1026	101	68	132.42
103	22373	3	14.31
270	6580	3	25.74
5864	105	3	4.16
156	365	18	67.4
4843	103	8	19.61
713	2054	8	78.87
214	681	11	58.32
105	20140	3	14.08
565	231	4	13.09
13416	101	3	5.56
343	114	12	10.32
